seller_id,origin,lead_type,business_segment,order_count,gmv,avg_review_score,avg_order_value
9b1585752613ec342d03bbab9997ec48,organic_search,offline,car_accessories,3,4349.04,3.67,1449.68
7210cd29727d674c00741e5e387b3ccd,social,online_medium,car_accessories,9,874.18,3.69,97.13
9261d76c62caaf0b24677c2ceb7f8f20,unknown,industry,household_utilities,6,1216.24,3.71,202.71
db2956745b3a8e9f3785c99f34b5d25e,unknown,online_medium,audio_video_electronics,47,9574.27,3.73,203.71
a7a9b880c49781da66651ccf4ba9ac38,paid_search,offline,bed_bath_table,3,373.07000000000005,3.75,124.36
7c9130f5f3729edd32aa059141d92484,organic_search,,computers,3,193.15,3.75,64.38
1961c3e1272bfeceb05d0b78b5bbfdaf,unknown,online_medium,games_consoles,3,945.43,3.75,315.14
af3ef48d0e13835e529c29ac573c63e5,unknown,online_top,pet,21,1873.13,3.76,89.2
ffa6adafb71b807dc13159e26431354c,organic_search,online_big,car_accessories,18,3206.98,3.78,178.17
6c99c983ce3b6ba0ab813e6790e81691,direct_traffic,online_small,toys,9,752.51,3.78,83.61
72c38a04bd6a1c3dbc5298425a0db86d,organic_search,online_beginner,audio_video_electronics,4,760.65,3.8,190.16
189ca3538ce9f920cacf0f982cbe223b,paid_search,online_medium,stationery,4,481.67,3.8,120.42
c0aff2da32c17759d30b22fb0af6649d,paid_search,online_medium,music_instruments,4,272.33000000000004,3.8,68.08
cb6c9f5888a7a090c75beaf615925792,unknown,online_medium,construction_tools_house_garden,11,1008.9700000000001,3.82,91.72
845e8036c3f7bf62099352f5ed910240,unknown,online_big,bed_bath_table,21,2045.2400000000002,3.83,97.39
2ba91c7ad80ff88b23b7db823b43c233,direct_traffic,,pet,6,840.3299999999999,3.83,140.05
120476eb7a04c149d14772edaf5d9bf2,paid_search,online_big,construction_tools_house_garden,4,2519.63,3.83,629.91
e1dc0754bada9ee4cfe9713f22f61292,organic_search,online_medium,toys,12,1149.78,3.83,95.82
4c18691b6037662be2df78a765d98ab5,unknown,online_small,household_utilities,63,4316.51,3.84,68.52
9aa388272ee334b6ae07bc73706e254a,paid_search,online_medium,bed_bath_table,6,861.46,3.86,143.58
b586cd24c010a13916af621b0325fbba,organic_search,online_beginner,home_decor,6,1372.93,3.86,228.82
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,paid_search,online_small,food_supplement,36,4955.92,3.86,137.66
ae7ab174effdead6c241e547e4ca13f0,organic_search,online_medium,household_utilities,6,3574.06,3.86,595.68
3ab971ce71839580d2ae5b4e40fe8044,organic_search,online_big,home_decor,36,5899.05,3.89,163.86
d3dcf0604eabf0224fbd5948b5e02f69,unknown,online_medium,music_instruments,9,3067.41,3.89,340.82
138dbe45fc62f1e244378131a6801526,paid_search,online_medium,household_utilities,49,1814.8,3.98,37.04
