Stage,Mean (hours),Median (hours),Mean (days),Median (days),Std (days)
Order→Approval,10.276767012103537,0.3433333333333333,0.42819862550431403,0.014305555555555556,0.8556424480813927
Approval→Shipping,67.17782602936332,43.58027777777778,2.799076084556805,1.8158449074074072,3.5370770873910033
Shipping→Delivery,223.927129391595,170.39444444444445,9.330297057983126,7.099768518518519,8.759923672235278
Total Delivery,301.3972103532474,245.21944444444443,12.558217098051975,10.217476851851853,9.54615637792742
