Metric,Value
Late Delivery Rate,8.11
Mean Late Days,9.551775917880569
Median Late Days,5.806481481481482
Max Late Days,188.97508101851852
Early Delivery Rate,91.88
Mean Early Days,13.008280170071673
Median Early Days,12.317789351851852
Max Early Days,146.0161226851852
