Metric,Low Score (1-2),High Score (4-5)
Avg Delivery Days,20.208352515922606,11.086876753601217
Avg Delay Days,-4.434963708155996,-12.43509140455072
Late Delivery Rate,33.74623095102274,3.500561834886642
Avg Freight,27.707714122728383,21.876000396589337
Orders Count,12271.0,75645.0
Orders Percentage,12.718961835858952,78.40647608781278
