Seller_ID,Orders,Avg_Delivery_Days,Avg_Delay_Days,Avg_Score,Late_Rate%
6560211a19b47992c3666cc44a7e94c0,1819,9.627301720013032,-10.791104003777004,3.9789473684210526,6.432105552501374
4a3ca9315b744ce9f8e9374361493884,1772,14.486044893299054,-8.831082489444862,3.8528237307472906,11.00451467268623
7c67e1448b00f6e969d365cea6b010ab,973,22.338337794050474,-10.691665263027673,3.4974146845915204,10.071942446043165
cca3071e3e9bb7d12640c9fbe2301306,699,14.158784606315901,-14.196409636120382,3.886627906976744,5.865522174535051
d2374cbcbb3ca4ab1086534108cc3ab7,514,14.613258034298891,-14.128170913496183,3.7799607072691552,5.836575875486381
1835b56ce799e6a4dc4eddc053f04066,417,13.234922922772892,-9.62402713939959,3.6594202898550723,11.750599520383693
4e922959ae960d389249c378d1c939f5,412,14.519824113403454,-12.166583176015822,3.963235294117647,10.679611650485436
1900267e848ceeba8fa32d80c1a5f5a8,406,13.152182482667397,-9.409087444125161,3.8596491228070176,10.344827586206897
2138ccb85b11a4ec1e37afbd1c8eda1f,388,11.346546511072928,-11.954930167764413,3.956072351421189,5.412371134020619
8160255418d5aaa7dbdc9f4c64ebda44,380,16.249576693469784,-7.421747197855751,3.9547872340425534,16.57894736842105
ef506c96320abeedfb894c34db06f478,316,13.462722178270042,-10.427146111697141,3.961783439490446,8.544303797468354
70a12e78e608ac31179aea7f8422044b,312,14.709280218720323,-9.76337202486942,3.8129032258064517,10.897435897435898
897060da8b9a21f655304d50fd935913,304,14.947158907468323,-9.09568416483918,3.7176079734219267,11.842105263157894
855668e0971d4dfd7bef1b6a4133b41b,300,16.26107449845679,-8.321978317901234,3.85472972972973,14.000000000000002
4c2b230173bb36f9b240f2b8ac11786e,258,12.872886116494401,-7.3348759600200975,3.9763779527559056,10.077519379844961
88460e8ebdecbfecb5f9601833981930,246,17.799440586419752,-10.506272818804577,3.4326530612244897,19.51219512195122
dc4a0fc896dc34b0d5bfec8438291c80,225,13.888684567901235,-10.72633209876543,3.8177777777777777,6.666666666666667
e5a3438891c0bfdb9394643f95273d8e,216,15.663077578446503,-5.830280296210562,3.986046511627907,18.51851851851852
d1c281d3ae149232351cd8c8cc885f0d,214,12.687229415455175,-10.808744537469712,3.806603773584906,8.878504672897195
7040e82f899a04d1b434b795a43b4617,208,10.512130074786324,-9.560479211182336,3.650485436893204,9.615384615384617
f457c46070d02cadd8a68551231220dd,195,14.550147673314338,-11.47884217711301,3.8762886597938144,6.153846153846154
2eb70248d66e0e3ef83659f71b244378,187,18.013339027530204,-9.339107929788076,2.7934782608695654,13.903743315508022
f45122a9ab94eb4f3f8953578bc0c560,184,12.76063166767311,-9.650100392512076,3.972826086956522,7.608695652173914
522620dcb18a6b31cd7bdf73665113a9,172,15.399955385981912,-13.11702512650732,3.905325443786982,10.465116279069768
5656537e588803a555b8eb41f07a944b,171,11.294335336798786,-11.030625406107863,3.8947368421052633,7.602339181286549
6d66611d7c44cc30ce351abc49a68421,164,12.028336862014454,-10.397004008581753,3.9691358024691357,6.097560975609756
2528513dd95219a6013d4d05176e391a,160,10.650047815393519,-11.595177445023149,3.968152866242038,5.0
25c5c91f63607446a97b143d2d535d31,156,14.471779736467237,-11.147756558641975,3.8451612903225807,7.051282051282051
213b25e6f54661939f11710a6fddb871,152,15.236320586622806,-10.817642467714425,3.814569536423841,8.552631578947368
36a968b544695394e4e9d7572688598f,148,10.72730394456957,-11.760874155405405,3.75,4.72972972972973
7ad32824caee82087b3e2e5f33b1bf32,147,12.115531934996222,-9.356880511463844,3.861111111111111,14.285714285714285
1c68394e931a64f90ea236c5ea590300,142,16.050927800599897,-14.60207241131977,3.9014084507042255,3.5211267605633805
44073f8b7e41514de3b7815dd0237f4f,142,13.152955301251957,-15.292007531298905,3.74468085106383,3.5211267605633805
3c7c4a49ec3c6550809089c6a2ca9370,139,9.574326622035706,-8.702542715827338,3.6906474820143886,7.913669064748201
710e3548e02bc1d2831dfc4f1b5b14d4,131,14.497791825699744,-21.117631732400337,3.4307692307692306,4.580152671755725
e9d99831abad74458942f21e16f33f92,130,12.873267984330484,-8.820818554131055,3.9302325581395348,10.76923076923077
8a32e327fe2c1b3511609d81aaf9f042,126,8.874441229423867,-14.274125514403291,3.944,3.1746031746031744
59b22a78efb79a4797979612b885db36,125,12.668354259259258,-9.358949351851852,3.9838709677419355,12.8
dd7ddc04e1b6c2c614352b383efe2d36,121,15.020833237679827,-7.14088489057239,3.875,15.702479338842975
c31eff8334d6b3047ed34bebd4d62c36,120,12.668956886574074,-9.574411265432099,3.8739495798319328,14.166666666666666
e5a38146df062edaf55c38afa99e42dc,120,12.190817033179012,-9.917421392746913,3.9831932773109244,9.166666666666666
229c3efbfb0ea2058de4ccdfbc3d784a,118,10.759132140615192,-11.954225223634651,3.623931623931624,1.694915254237288
431af27f296bc6519d890aa5a05fdb11,116,17.234933449074074,-6.531787496008939,3.8,15.517241379310345
c33847515fa6305ce6feb1e818569f13,114,9.288727461013647,-14.826631944444443,3.8508771929824563,4.385964912280701
18a349e75d307f4b4cc646a691ed4216,109,11.154515587835544,-13.83158203788651,3.6018518518518516,6.422018348623854
1ca7077d890b907f89be8c954a02686a,108,15.536053990912208,-5.961805662722908,2.392523364485981,22.22222222222222
f4aba7c0bca51484c30ab7bdc34bcdd1,108,10.979156057098765,-15.10216049382716,3.9444444444444446,6.481481481481481
